rxcui,ingredient_rxcui,ndc11,name,tty,ingredient_name
1858970,135447,NA,{7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 14 MG Extended Release Oral Capsule) / 7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 21 MG Extended Release Oral Capsule) / 7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 28 MG Extended Release Oral Capsule) / 7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 7 MG Extended Release Oral Capsule) } Pack,GPCK,donepezil
1858971,135447,00456122929,{7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 14 MG Extended Release Oral Capsule [Namzaric]) / 7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 21 MG Extended Release Oral Capsule [Namzaric]) / 7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 28 MG Extended Release Oral Capsule [Namzaric]) / 7 (24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 7 MG Extended Release Oral Capsule [Namzaric]) } Pack [Namzaric Titration Pack],BPCK,donepezil
2597446,135447,NA,168 HR donepezil 0.208 MG/HR Transdermal System,SCD,donepezil
2597453,135447,65038005501,168 HR donepezil 0.208 MG/HR Transdermal System [Adlarity],SBD,donepezil
2597453,135447,65038005503,168 HR donepezil 0.208 MG/HR Transdermal System [Adlarity],SBD,donepezil
2597456,135447,NA,168 HR donepezil 0.417 MG/HR Transdermal System,SCD,donepezil
2597459,135447,65038005601,168 HR donepezil 0.417 MG/HR Transdermal System [Adlarity],SBD,donepezil
2597459,135447,65038005603,168 HR donepezil 0.417 MG/HR Transdermal System [Adlarity],SBD,donepezil
997216,135447,NA,donepezil hydrochloride 1 MG/ML Oral Solution,SCD,donepezil
997220,135447,00781527764,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,29300025111,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,29300025187,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,33342003006,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,33342003007,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,33342003012,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,33342003060,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,42658012001,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,42658012004,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,42658012008,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,42658012051,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,59762025201,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997220,135447,68382034706,donepezil hydrochloride 10 MG Disintegrating Oral Tablet,SCD,donepezil
997223,135447,00378514505,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00378514577,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00378514593,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00615831305,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00615831328,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00615831330,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00615831339,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00781527506,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00781527510,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00781527513,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00781527531,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00781527592,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,00904647861,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,13668010305,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,13668010310,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,13668010326,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,13668010330,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,13668010374,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,13668010390,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,16571077903,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,16571077909,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,16571077910,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,16571077950,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,29300024901,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,29300024910,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
